Position,"Track Name",Artist,Streams,URL
1,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",5213281,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
2,Closer,"The Chainsmokers",4300518,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
3,"Let Me Love You","DJ Snake",3917955,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
4,"One Dance",Drake,3872085,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
5,Heathens,"Twenty One Pilots",3538199,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
6,"Treat You Better","Shawn Mendes",2857651,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
7,"This Is What You Came For","Calvin Harris",2806803,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
8,"Too Good",Drake,2698861,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
9,"Don't Let Me Down","The Chainsmokers",2657608,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
10,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",2490168,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
11,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",2351431,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
12,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",2299827,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
13,"Perfect Strangers","Jonas Blue",2209426,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
14,Ride,"Twenty One Pilots",2173316,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
15,"Cheap Thrills",Sia,2167223,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
16,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,2128854,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
17,"Into You","Ariana Grande",2086009,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
18,"The Ocean","Mike Perry",2031374,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
19,"Hymn For The Weekend - Seeb Remix",Coldplay,1916996,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
20,"Send My Love (To Your New Lover)",Adele,1816041,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
21,"Work from Home","Fifth Harmony",1799049,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
22,"Final Song",MØ,1754205,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
23,"Don't Mind","Kent Jones",1707691,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
24,"i hate u, i love u (feat. olivia o'brien)",gnash,1705760,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
25,"Needed Me",Rihanna,1698421,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
26,"Kill Em With Kindness","Selena Gomez",1693469,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
27,"No Money",Galantis,1691871,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
28,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",1677755,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
29,"In The Name Of Love","Martin Garrix",1664475,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
30,Panda,Desiigner,1628524,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
31,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",1582768,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
32,Capsize,FRENSHIP,1521304,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
33,"Please Don't Go","Joel Adams",1494564,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
34,"Let Me Hold You (Turn Me On)","Dante Klein",1489299,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
35,Controlla,Drake,1459319,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
36,"Cool Girl","Tove Lo",1367674,https://open.spotify.com/track/5LWVXN39UpNyhkYnBvDfyq
37,"All In My Head (Flex)","Fifth Harmony",1366006,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
38,Broccoli,D.R.A.M.,1274034,https://open.spotify.com/track/0qy5D3OJre7SPJNMOL9I71
39,"DUELE EL CORAZON","Enrique Iglesias",1239445,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
40,"Wherever I Go",OneRepublic,1226221,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
41,Sex,"Cheat Codes",1217902,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
42,Faded,"Alan Walker",1191955,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
43,Gold,Kiiara,1189986,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
44,"Cake By The Ocean",DNCE,1158475,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
45,"Stressed Out","Twenty One Pilots",1157891,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
46,"Never Be Like You",Flume,1156160,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
47,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",1147176,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
48,"Lush Life","Zara Larsson",1093523,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
49,Starving,"Hailee Steinfeld",1081855,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
50,Work,Rihanna,1080501,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
51,"Once In A While",Timeflies,1060654,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
52,Middle,"DJ Snake",969030,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
53,"7 Years","Lukas Graham",952338,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
54,"Fast Car - Radio Edit","Jonas Blue",900673,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
55,"Say It (feat. Tove Lo)",Flume,899051,https://open.spotify.com/track/4sQMalN597HdggTu196aL0
56,"Purple Lamborghini (with Rick Ross)",Skrillex,887216,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ
57,LUV,"Tory Lanez",857698,https://open.spotify.com/track/52wTKeWYVIAtSESw0haRB1
58,"You & Me","Marc E. Bassy",857690,https://open.spotify.com/track/0qRZ9ydGdzeVk3S01pLGoJ
59,Toothbrush,DNCE,843947,https://open.spotify.com/track/6aFc0W6xVS9kN9E9NGekAl
60,"You Don't Own Me",Grace,841308,https://open.spotify.com/track/6KI1ZpZWYAJLvmVhCJz65G
61,"Love Yourself","Justin Bieber",828769,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
62,"La Bicicleta","Carlos Vives",792320,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
