,Position,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0,1,0.798,0.156,92.943,0.0432,0.0736,0.0,4.0,0.608,6.0,185352.0,-5.092,0.488,0.0
1,2,0.524,0.111,95.01,0.0338,0.414,0.0,4.0,0.748,8.0,244960.0,-5.599,0.635,1.0
2,3,0.718,0.122,199.864,0.0576,0.0784,1.02e-05,4.0,0.476,8.0,205947.0,-5.309,0.143,1.0
3,4,0.619,0.351,103.989,0.0532,0.00784,0.00423,4.0,0.791,1.0,173987.0,-5.886,0.376,1.0
4,5,0.396,0.105,90.024,0.0286,0.0841,3.58e-05,4.0,0.732,4.0,195920.0,-9.348,0.547,0.0
5,6,0.825,0.109,82.823,0.372,0.121,0.0,4.0,0.45,10.0,187973.0,-4.066,0.738,0.0
6,7,0.928,0.148,123.963,0.0331,0.199,0.124,4.0,0.63,9.0,222160.0,-2.787,0.46,0.0
7,8,0.648,0.102,117.983,0.117,0.0573,3.49e-05,4.0,0.804,7.0,263373.0,-7.805,0.385,1.0
8,9,0.869,0.136,159.803,0.172,0.157,0.00508,4.0,0.532,11.0,208373.0,-5.094,0.419,1.0
9,10,0.786,0.65,169.021,0.317,0.255,0.0,4.0,0.502,9.0,243491.0,-4.378,0.734,0.0
10,11,0.563,0.179,100.017,0.134,0.621,0.0,4.0,0.728,1.0,217707.0,-8.053,0.35,0.0
11,12,0.83,0.191,113.03,0.0749,0.0123,0.0,4.0,0.667,0.0,236002.0,-5.715,0.716,1.0
12,13,0.819,0.277,117.986,0.0487,0.372,0.0,4.0,0.742,1.0,196613.0,-5.307,0.697,1.0
13,14,0.713,0.113,74.989,0.0393,0.00835,0.0,4.0,0.645,6.0,214507.0,-5.355,0.58,1.0
14,15,0.698,0.0907,89.976,0.105,0.0472,0.00143,4.0,0.628,6.0,211667.0,-5.608,0.73,0.0
15,16,0.705,0.251,121.969,0.0383,0.0807,4.81e-05,4.0,0.79,0.0,195561.0,-4.684,0.498,0.0
16,17,0.727,0.151,107.988,0.106,0.0161,1.12e-06,4.0,0.636,9.0,244453.0,-5.852,0.364,1.0
17,18,0.575,0.104,90.037,0.029,0.0225,1.81e-06,4.0,0.632,5.0,183414.0,-6.478,0.229,1.0
